modulus,mask_proportion,shots,successes
407,0.5,45000,9598.9130859375
407,0.1,45000,15599.4443359375
407,0.9,45000,1745.69775390625
407,0.01,45000,16510.263671875
411,0,45000,21769.501953125
411,0.5,45000,11398.6064453125
411,0.1,45000,19931.92578125
411,0.9,45000,2211.014404296875
411,0.01,45000,21647.162109375
413,0,45000,11417.6630859375
413,0.5,45000,6401.7353515625
413,0.1,45000,10564.3408203125
413,0.9,45000,1157.4052734375
413,0.01,45000,11358.515625
415,0,45000,19741.576171875
415,0.5,45000,10410.171875
415,0.1,45000,18905.357421875
415,0.9,45000,2071.23828125
415,0.01,45000,19673.939453125
417,0,45000,17609.01953125
417,0.5,45000,9270.41015625
417,0.1,45000,16165.6630859375
417,0.9,45000,1804.303466796875
417,0.01,45000,17521.857421875
427,0,45000,15674.6015625
427,0.5,45000,8160.162109375
427,0.1,45000,14672.1611328125
427,0.9,45000,1643.0177001953125
427,0.01,45000,15678.259765625
437,0,45000,12298.7001953125
437,0.5,45000,6787.208984375
437,0.1,45000,11242.5185546875
437,0.9,45000,1261.38623046875
437,0.01,45000,12261.1767578125
445,0,45000,24709.126953125
445,0.5,45000,12444.4853515625
445,0.1,45000,22440.654296875
445,0.9,45000,2523.288330078125
445,0.01,45000,24553.626953125
447,0,45000,19495.32421875
447,0.5,45000,10183.16796875
447,0.1,45000,17877.947265625
447,0.9,45000,2004.31201171875
447,0.01,45000,19371.958984375
451,0,45000,19486.306640625
451,0.5,45000,10560.0703125
451,0.1,45000,18543.345703125
451,0.9,45000,2063.69580078125
451,0.01,45000,19365.591796875
453,0,45000,16317.0068359375
453,0.5,45000,8295.4638671875
453,0.1,45000,14905.037109375
453,0.9,45000,1643.1484375
453,0.01,45000,16112.9560546875
469,0,45000,11736.4365234375
469,0.5,45000,6493.31982421875
469,0.1,45000,11060.4765625
469,0.9,45000,1230.9219970703125
469,0.01,45000,11751.0771484375
471,0,45000,20395.2734375
471,0.5,45000,10885.2265625
471,0.1,45000,18883.087890625
471,0.9,45000,2086.817138671875
471,0.01,45000,20209.35546875
473,0,45000,11910.400390625
473,0.5,45000,5810.8720703125
473,0.1,45000,10931.7255859375
473,0.9,45000,1205.7376708984375
473,0.01,45000,11829.05078125
481,0,45000,15612.2216796875
481,0.5,45000,7393.314453125
481,0.1,45000,14120.1044921875
481,0.9,45000,1562.9345703125
481,0.01,45000,15472.0263671875
485,0,45000,20621.2265625
485,0.5,45000,10424.9873046875
485,0.1,45000,18747.755859375
485,0.9,45000,2100.9931640625
485,0.01,45000,20446.921875
489,0,45000,15500.7275390625
489,0.5,45000,8073.869140625
489,0.1,45000,14193.9765625
489,0.9,45000,1583.4654541015625
489,0.01,45000,15343.4287109375
493,0,45000,25068.5546875
493,0.5,45000,13237.447265625
493,0.1,45000,23423.173828125
493,0.9,45000,2585.1767578125
493,0.01,45000,24932.572265625
497,0,45000,14283.404296875
497,0.5,45000,7410.3525390625
497,0.1,45000,12872.451171875
497,0.9,45000,1437.71630859375
497,0.01,45000,14218.322265625
501,0,45000,22365.708984375
501,0.5,45000,11063.3203125
501,0.1,45000,20113.537109375
501,0.9,45000,2232.03125
501,0.01,45000,22192.318359375
505,0,45000,18130.08984375
505,0.5,45000,10008.064453125
505,0.1,45000,16804.056640625
505,0.9,45000,1889.941162109375
505,0.01,45000,18038.39453125
511,0,45000,17655.21875
511,0.5,45000,9247.2978515625
511,0.1,45000,15839.326171875
511,0.9,45000,1766.09814453125
511,0.01,45000,17583.361328125
515,0,45000,21493.19921875
515,0.5,45000,11212.470703125
515,0.1,45000,20324.64453125
515,0.9,45000,2217.798583984375
515,0.01,45000,21477.779296875
517,0,45000,13328.5712890625
517,0.5,45000,6696.24560546875
517,0.1,45000,12110.9892578125
517,0.9,45000,1358.3173828125
517,0.01,45000,13242.4755859375
519,0,45000,27672.703125
519,0.5,45000,13637.5732421875
519,0.1,45000,24996.67578125
519,0.9,45000,2783.48486328125
519,0.01,45000,27507.703125
527,0,45000,23689.59765625
527,0.5,45000,13002.0244140625
527,0.1,45000,22599.841796875
527,0.9,45000,2534.67529296875
527,0.01,45000,23589.662109375
533,0,45000,21293.57421875
533,0.5,45000,10633.0908203125
533,0.1,45000,19168.41015625
533,0.9,45000,2121.146728515625
533,0.01,45000,21142.6796875
535,0,45000,25154.671875
535,0.5,45000,12059.6689453125
535,0.1,45000,22707.494140625
535,0.9,45000,2498.25732421875
535,0.01,45000,24984.2578125
537,0,45000,11340.71484375
537,0.5,45000,6650.44287109375
537,0.1,45000,10786.685546875
537,0.9,45000,1211.2640380859375
537,0.01,45000,11284.8916015625
543,0,45000,17706.376953125
543,0.5,45000,9438.3974609375
543,0.1,45000,16148.7041015625
543,0.9,45000,1792.7847900390625
543,0.01,45000,17557.287109375
545,0,45000,19089.37890625
545,0.5,45000,10494.0859375
545,0.1,45000,17766.1484375
545,0.9,45000,1989.9215087890625
545,0.01,45000,18940.3046875
551,0,45000,18746.412109375
551,0.5,45000,9806.09375
551,0.1,45000,17372.482421875
551,0.9,45000,1929.994873046875
551,0.01,45000,18649.33203125
553,0,45000,11357.8828125
553,0.5,45000,5484.77978515625
553,0.1,45000,10423.9931640625
553,0.9,45000,1152.3934326171875
553,0.01,45000,11304.4921875
559,0,45000,18156.27734375
559,0.5,45000,10251.7783203125
559,0.1,45000,16886.74609375
559,0.9,45000,1875.1954345703125
559,0.01,45000,18072.4453125
565,0,45000,24001.396484375
565,0.5,45000,11565.0361328125
565,0.1,45000,21438.794921875
565,0.9,45000,2412.507080078125
565,0.01,45000,23764.921875
573,0,45000,21420.501953125
573,0.5,45000,10679.865234375
573,0.1,45000,19412.7890625
573,0.9,45000,2147.475341796875
573,0.01,45000,21242.685546875
579,0,45000,18849.681640625
579,0.5,45000,9663.640625
579,0.1,45000,16671.740234375
579,0.9,45000,1852.4879150390625
579,0.01,45000,18716.005859375
581,0,45000,11438.6181640625
581,0.5,45000,5903.86181640625
581,0.1,45000,10557.8330078125
581,0.9,45000,1166.6500244140625
581,0.01,45000,11368.7421875
583,0,45000,18730.3671875
583,0.5,45000,9440.2802734375
583,0.1,45000,17291.05859375
583,0.9,45000,1908.9920654296875
583,0.01,45000,18628.919921875
589,0,45000,10657.201171875
589,0.5,45000,5400.4423828125
589,0.1,45000,10142.8251953125
589,0.9,45000,1125.42041015625
589,0.01,45000,10596.0732421875
591,0,45000,20040.537109375
591,0.5,45000,10406.2236328125
591,0.1,45000,18388.169921875
591,0.9,45000,2035.6649169921875
591,0.01,45000,19957.95703125
597,0,45000,18406.70703125
597,0.5,45000,9597.8740234375
597,0.1,45000,16801.416015625
597,0.9,45000,1872.6826171875
597,0.01,45000,18229.26953125
611,0,45000,18973.076171875
611,0.5,45000,8998.72265625
611,0.1,45000,17630.984375
611,0.9,45000,1959.453125
611,0.01,45000,18927.58984375
623,0,45000,22204.10546875
623,0.5,45000,11238.09375
623,0.1,45000,20348.595703125
623,0.9,45000,2238.533935546875
623,0.01,45000,22147.185546875
629,0,45000,24450.927734375
629,0.5,45000,12838.1357421875
629,0.1,45000,22786.59375
629,0.9,45000,2536.409912109375
629,0.01,45000,24347.611328125
633,0,45000,17371.939453125
633,0.5,45000,9021.2685546875
633,0.1,45000,15897.6689453125
633,0.9,45000,1754.0665283203125
633,0.01,45000,17191.9765625
635,0,45000,23301.07421875
635,0.5,45000,12388.236328125
635,0.1,45000,21950.974609375
635,0.9,45000,2417.696533203125
635,0.01,45000,23217.708984375
649,0,45000,11305.3271484375
649,0.5,45000,6197.48046875
649,0.1,45000,10310.857421875
649,0.9,45000,1146.753662109375
649,0.01,45000,11213.0947265625
655,0,45000,21382.06640625
655,0.5,45000,12075.7548828125
655,0.1,45000,19984.423828125
655,0.9,45000,2213.00830078125
655,0.01,45000,21233.375
667,0,45000,19334.189453125
667,0.5,45000,9933.5595703125
667,0.1,45000,17909.30859375
667,0.9,45000,2002.001220703125
667,0.01,45000,19251.810546875
669,0,45000,16345.2861328125
669,0.5,45000,8694.5380859375
669,0.1,45000,15042.802734375
669,0.9,45000,1672.5606689453125
669,0.01,45000,16195.7431640625
671,0,45000,15630.87109375
671,0.5,45000,7764.34033203125
671,0.1,45000,14386.6396484375
671,0.9,45000,1595.4949951171875
671,0.01,45000,15510.90234375
679,0,45000,18576.947265625
679,0.5,45000,10441.150390625
679,0.1,45000,17632.390625
679,0.9,45000,1961.579833984375
679,0.01,45000,18558.28515625
681,0,45000,11379.498046875
681,0.5,45000,6662.4384765625
681,0.1,45000,10812.8349609375
681,0.9,45000,1202.22998046875
681,0.01,45000,11320.9462890625
685,0,45000,22625.193359375
685,0.5,45000,11484.7333984375
685,0.1,45000,20643.38671875
685,0.9,45000,2309.504150390625
685,0.01,45000,22464.84765625
687,0,45000,21385.615234375
687,0.5,45000,10981.6630859375
687,0.1,45000,19417.1328125
687,0.9,45000,2162.38330078125
687,0.01,45000,21253.77734375
689,0,45000,19097.099609375
689,0.5,45000,9410.1572265625
689,0.1,45000,17195.830078125
689,0.9,45000,1927.33251953125
689,0.01,45000,18946.494140625
695,0,45000,24420.220703125
695,0.5,45000,12920.3740234375
695,0.1,45000,22635.13671875
695,0.9,45000,2500.714599609375
695,0.01,45000,24310.23046875
697,0,45000,24420.984375
697,0.5,45000,12991.7216796875
697,0.1,45000,22554.501953125
697,0.9,45000,2515.33349609375
697,0.01,45000,24254.083984375
699,0,45000,22077.416015625
699,0.5,45000,11576.4580078125
699,0.1,45000,20333.21875
699,0.9,45000,2261.505126953125
699,0.01,45000,21990.314453125
703,0,45000,15354.48828125
703,0.5,45000,7465.755859375
703,0.1,45000,14262.7529296875
703,0.9,45000,1579.5037841796875
703,0.01,45000,15281.9306640625
707,0,45000,16776.5859375
707,0.5,45000,8735.72265625
707,0.1,45000,15320.4111328125
707,0.9,45000,1710.8089599609375
707,0.01,45000,16719.052734375
713,0,45000,12485.87890625
713,0.5,45000,6342.63232421875
713,0.1,45000,11235.2373046875
713,0.9,45000,1238.48681640625
713,0.01,45000,12378.3740234375
717,0,45000,19667.4296875
717,0.5,45000,10227.8115234375
717,0.1,45000,17926.13671875
717,0.9,45000,2003.364990234375
717,0.01,45000,19538.67578125
721,0,45000,11267.4892578125
721,0.5,45000,5818.919921875
721,0.1,45000,10710.0498046875
721,0.9,45000,1189.6136474609375
721,0.01,45000,11286.19921875
723,0,45000,17985.3828125
723,0.5,45000,9301.2333984375
723,0.1,45000,16180.3076171875
723,0.9,45000,1790.93017578125
723,0.01,45000,17802.380859375
731,0,45000,23816.865234375
731,0.5,45000,11270.2314453125
731,0.1,45000,21582.435546875
731,0.9,45000,2392.838134765625
731,0.01,45000,23736.533203125
737,0,45000,12843.2900390625
737,0.5,45000,6427.609375
737,0.1,45000,11547.85546875
737,0.9,45000,1292.9503173828125
737,0.01,45000,12737.0546875
745,0,45000,22272.849609375
745,0.5,45000,11840.3671875
745,0.1,45000,20435.955078125
745,0.9,45000,2286.42724609375
745,0.01,45000,22190.994140625
749,0,45000,11371.9921875
749,0.5,45000,5313.46826171875
749,0.1,45000,10468.013671875
749,0.9,45000,1161.6292724609375
749,0.01,45000,11305.5380859375
753,0,45000,11266.0546875
753,0.5,45000,6657.435546875
753,0.1,45000,10721.1552734375
753,0.9,45000,1180.939453125
753,0.01,45000,11200.3984375
755,0,45000,21953.0625
755,0.5,45000,12152.109375
755,0.1,45000,20763.806640625
755,0.9,45000,2293.75537109375
755,0.01,45000,21879.822265625
763,0,45000,17458.375
763,0.5,45000,9293.9345703125
763,0.1,45000,16153.0458984375
763,0.9,45000,1790.56005859375
763,0.01,45000,17355.05078125
767,0,45000,18999.171875
767,0.5,45000,9768.6162109375
767,0.1,45000,17508.36328125
767,0.9,45000,1952.86767578125
767,0.01,45000,18888.23828125
771,0,45000,22813.40625
771,0.5,45000,11979.595703125
771,0.1,45000,20913.978515625
771,0.9,45000,2321.89794921875
771,0.01,45000,22695.994140625
779,0,45000,19318.603515625
779,0.5,45000,10207.064453125
779,0.1,45000,18246.517578125
779,0.9,45000,2033.08251953125
779,0.01,45000,19205.396484375
781,0,45000,11394.3291015625
781,0.5,45000,6049.74755859375
781,0.1,45000,10675.8818359375
781,0.9,45000,1167.8636474609375
781,0.01,45000,11363.2744140625
785,0,45000,21076.365234375
785,0.5,45000,10935.720703125
785,0.1,45000,19511.623046875
785,0.9,45000,2183.96484375
785,0.01,45000,20943.986328125
789,0,45000,22418.48828125
789,0.5,45000,11108.8095703125
789,0.1,45000,20163.376953125
789,0.9,45000,2239.020751953125
789,0.01,45000,22216.146484375
791,0,45000,21835.435546875
791,0.5,45000,10595.1923828125
791,0.1,45000,19546.869140625
791,0.9,45000,2169.146728515625
791,0.01,45000,21718.681640625
793,0,45000,15333.64453125
793,0.5,45000,8633.4248046875
793,0.1,45000,14348.90625
793,0.9,45000,1596.6070556640625
793,0.01,45000,15257.3359375
799,0,45000,24453.833984375
799,0.5,45000,12176.5830078125
799,0.1,45000,22449.05078125
799,0.9,45000,2497.451171875
799,0.01,45000,24357.419921875
803,0,45000,17499.9140625
803,0.5,45000,9003.900390625
803,0.1,45000,15744.853515625
803,0.9,45000,1744.7950439453125
803,0.01,45000,17415.595703125
807,0,45000,27819.744140625
807,0.5,45000,13765.8349609375
807,0.1,45000,25085.138671875
807,0.9,45000,2794.90576171875
807,0.01,45000,27602.81640625
813,0,45000,18080.7265625
813,0.5,45000,9019.560546875
813,0.1,45000,16274.19921875
813,0.9,45000,1793.0931396484375
813,0.01,45000,17862.75390625
815,0,45000,20788.716796875
815,0.5,45000,11178.37109375
815,0.1,45000,19861.96484375
815,0.9,45000,2195.838134765625
815,0.01,45000,20739.72265625
817,0,45000,11263.1025390625
817,0.5,45000,6010.248046875
817,0.1,45000,10231.4169921875
817,0.9,45000,1137.7366943359375
817,0.01,45000,11213.6083984375
831,0,45000,21466.515625
831,0.5,45000,10890.2265625
831,0.1,45000,19442.5
831,0.9,45000,2152.55029296875
831,0.01,45000,21339.3359375
835,0,45000,25261.51953125
835,0.5,45000,13553.1015625
835,0.1,45000,23674.12890625
835,0.9,45000,2608.07177734375
835,0.01,45000,25141.505859375
843,0,45000,22200.56640625
843,0.5,45000,11769.7119140625
843,0.1,45000,20705.6640625
843,0.9,45000,2294.910888671875
843,0.01,45000,22110.703125
849,0,45000,17533.630859375
849,0.5,45000,9189.0078125
849,0.1,45000,16090.345703125
849,0.9,45000,1791.291259765625
849,0.01,45000,17436.89453125
851,0,45000,16819.646484375
851,0.5,45000,9303.162109375
851,0.1,45000,15526.005859375
851,0.9,45000,1715.2755126953125
851,0.01,45000,16758.806640625
865,0,45000,21044.244140625
865,0.5,45000,11042.4228515625
865,0.1,45000,19474.16796875
865,0.9,45000,2181.688232421875
865,0.01,45000,20903.810546875
869,0,45000,11762.9091796875
869,0.5,45000,5617.5107421875
869,0.1,45000,10651.7373046875
869,0.9,45000,1185.263427734375
869,0.01,45000,11701.154296875
871,0,45000,16745.15625
871,0.5,45000,8109.1982421875
871,0.1,45000,15364.9287109375
871,0.9,45000,1705.946044921875
871,0.01,45000,16762.92578125
879,0,45000,19646.208984375
879,0.5,45000,10261.0087890625
879,0.1,45000,18032.70703125
879,0.9,45000,1999.776123046875
879,0.01,45000,19487.34375
889,0,45000,13345.9912109375
889,0.5,45000,7063.59814453125
889,0.1,45000,12342.7001953125
889,0.9,45000,1365.6904296875
889,0.01,45000,13301.8798828125
893,0,45000,12390.3583984375
893,0.5,45000,6539.7802734375
893,0.1,45000,11208.8095703125
893,0.9,45000,1243.9072265625
893,0.01,45000,12317.279296875
895,0,45000,19670.111328125
895,0.5,45000,11517.7021484375
895,0.1,45000,18843.931640625
895,0.9,45000,2076.761474609375
895,0.01,45000,19583.12890625
899,0,45000,18659.935546875
899,0.5,45000,8989.0048828125
899,0.1,45000,16477.21875
899,0.9,45000,1835.531982421875
899,0.01,45000,18553.509765625
901,0,45000,25589.255859375
901,0.5,45000,12230.19140625
901,0.1,45000,22906.955078125
901,0.9,45000,2539.337158203125
